EventName,lat,lon
Abu Dhabi Grand Prix,24.4672,54.6031
Australian Grand Prix,-37.8498,144.9680
Austrian Grand Prix,47.2197,14.7645
Azerbaijan Grand Prix,40.3725,49.8533
Bahrain Grand Prix,26.0325,50.5106
Belgian Grand Prix,50.4372,5.9714
Brazilian Grand Prix,-23.7036,-46.6997
British Grand Prix,52.0733,-1.0144
Canadian Grand Prix,45.5046,-73.5227
Chinese Grand Prix,31.3389,121.2230
Dutch Grand Prix,52.3888,4.5406
Eifel Grand Prix,50.3356,6.9470
Emilia Romagna Grand Prix,44.3399,11.7138
French Grand Prix,43.2506,5.7928
German Grand Prix,49.3275,8.5656
Hungarian Grand Prix,47.5789,19.2486
Italian Grand Prix,45.6156,9.2811
Japanese Grand Prix,34.8431,136.5410
Las Vegas Grand Prix,36.0881,-115.1470
Mexican Grand Prix,19.4044,-99.0907
Mexico City Grand Prix,19.4044,-99.0907
Miami Grand Prix,25.9587,-80.2381
Monaco Grand Prix,43.7347,7.4206
Portuguese Grand Prix,37.2296,-8.6268
Qatar Grand Prix,25.3543,51.4890
Russian Grand Prix,43.4056,39.9547
Sakhir Grand Prix,26.0325,50.5106
Ṣo Paulo Grand Prix,-23.7036,-46.6997
Saudi Arabian Grand Prix,21.6319,39.1043
Singapore Grand Prix,1.2914,103.8643
Spanish Grand Prix,41.5707,2.2619
Styrian Grand Prix,47.2197,14.7645
Turkish Grand Prix,40.9517,29.4050
Tuscan Grand Prix,43.9975,11.3710
United States Grand Prix,30.1328,-97.6411
70th Anniversary Grand Prix,52.0733,-1.0144
