season,grand_prix,driver_id,lap_number,lap_time,sector1_time,sector2_time,sector3_time,position
2019,Australian Grand Prix,10,1.0,105.008,,0 days 00:00:24.917000,0 days 00:00:38.018000,17.0
2019,Australian Grand Prix,10,2.0,91.585,0 days 00:00:30.704000,0 days 00:00:24.245000,0 days 00:00:36.636000,16.0
2019,Australian Grand Prix,10,3.0,91.406,0 days 00:00:30.920000,0 days 00:00:24.387000,0 days 00:00:36.099000,16.0
2019,Australian Grand Prix,10,4.0,92.361,0 days 00:00:32.196000,0 days 00:00:24.238000,0 days 00:00:35.927000,16.0
2019,Australian Grand Prix,10,5.0,91.171,0 days 00:00:30.366000,0 days 00:00:24.301000,0 days 00:00:36.504000,16.0
2019,Australian Grand Prix,10,6.0,91.02,0 days 00:00:30.534000,0 days 00:00:24.444000,0 days 00:00:36.042000,16.0
2019,Australian Grand Prix,10,7.0,91.165,0 days 00:00:30.592000,0 days 00:00:24.278000,0 days 00:00:36.295000,16.0
2019,Australian Grand Prix,10,8.0,91.434,0 days 00:00:30.722000,0 days 00:00:24.391000,0 days 00:00:36.321000,16.0
2019,Australian Grand Prix,10,9.0,91.161,0 days 00:00:30.521000,0 days 00:00:24.492000,0 days 00:00:36.148000,16.0
2019,Australian Grand Prix,10,10.0,91.449,0 days 00:00:30.317000,0 days 00:00:24.350000,0 days 00:00:36.782000,15.0
2019,Australian Grand Prix,10,11.0,90.129,0 days 00:00:30.156000,0 days 00:00:24.102000,0 days 00:00:35.871000,15.0
2019,Australian Grand Prix,10,12.0,90.497,0 days 00:00:30.342000,0 days 00:00:24.143000,0 days 00:00:36.012000,14.0
2019,Australian Grand Prix,10,13.0,91.143,0 days 00:00:30.525000,0 days 00:00:24.313000,0 days 00:00:36.305000,12.0
2019,Australian Grand Prix,10,14.0,90.303,0 days 00:00:30.151000,0 days 00:00:24.090000,0 days 00:00:36.062000,10.0
2019,Australian Grand Prix,10,15.0,89.907,0 days 00:00:30.238000,0 days 00:00:23.996000,0 days 00:00:35.673000,8.0
2019,Australian Grand Prix,10,16.0,89.569,0 days 00:00:29.949000,0 days 00:00:23.906000,0 days 00:00:35.714000,8.0
2019,Australian Grand Prix,10,17.0,89.83,0 days 00:00:29.950000,0 days 00:00:23.979000,0 days 00:00:35.901000,8.0
2019,Australian Grand Prix,10,18.0,90.036,0 days 00:00:30.182000,0 days 00:00:24.064000,0 days 00:00:35.790000,8.0
2019,Australian Grand Prix,10,19.0,89.25,0 days 00:00:29.819000,0 days 00:00:23.959000,0 days 00:00:35.472000,8.0
2019,Australian Grand Prix,10,20.0,89.474,0 days 00:00:29.919000,0 days 00:00:23.879000,0 days 00:00:35.676000,8.0
2019,Australian Grand Prix,10,21.0,89.155,0 days 00:00:29.905000,0 days 00:00:23.803000,0 days 00:00:35.447000,8.0
2019,Australian Grand Prix,10,22.0,89.675,0 days 00:00:30.007000,0 days 00:00:24.024000,0 days 00:00:35.644000,8.0
2019,Australian Grand Prix,10,23.0,89.645,0 days 00:00:30.007000,0 days 00:00:24.015000,0 days 00:00:35.623000,8.0
2019,Australian Grand Prix,10,24.0,89.354,0 days 00:00:29.914000,0 days 00:00:23.936000,0 days 00:00:35.504000,8.0
2019,Australian Grand Prix,10,25.0,89.272,0 days 00:00:29.783000,0 days 00:00:23.877000,0 days 00:00:35.612000,8.0
2019,Australian Grand Prix,10,26.0,88.985,0 days 00:00:29.670000,0 days 00:00:23.889000,0 days 00:00:35.426000,7.0
2019,Australian Grand Prix,10,27.0,88.412,0 days 00:00:29.383000,0 days 00:00:23.736000,0 days 00:00:35.293000,6.0
2019,Australian Grand Prix,10,28.0,88.451,0 days 00:00:29.596000,0 days 00:00:23.645000,0 days 00:00:35.210000,6.0
2019,Australian Grand Prix,10,29.0,88.713,0 days 00:00:29.784000,0 days 00:00:23.507000,0 days 00:00:35.422000,6.0
2019,Australian Grand Prix,10,30.0,88.627,0 days 00:00:29.598000,0 days 00:00:23.596000,0 days 00:00:35.433000,6.0
2019,Australian Grand Prix,10,31.0,88.966,0 days 00:00:29.701000,0 days 00:00:23.611000,0 days 00:00:35.654000,6.0
2019,Australian Grand Prix,10,32.0,88.825,0 days 00:00:29.737000,0 days 00:00:23.558000,0 days 00:00:35.530000,6.0
2019,Australian Grand Prix,10,33.0,89.207,0 days 00:00:29.769000,0 days 00:00:23.735000,0 days 00:00:35.703000,6.0
2019,Australian Grand Prix,10,34.0,88.974,0 days 00:00:29.854000,0 days 00:00:23.675000,0 days 00:00:35.445000,6.0
2019,Australian Grand Prix,10,35.0,89.59,0 days 00:00:30.107000,0 days 00:00:23.628000,0 days 00:00:35.855000,6.0
2019,Australian Grand Prix,10,36.0,89.661,0 days 00:00:30.056000,0 days 00:00:23.883000,0 days 00:00:35.722000,6.0
2019,Australian Grand Prix,10,37.0,107.175,0 days 00:00:30.115000,0 days 00:00:23.770000,0 days 00:00:53.290000,10.0
2019,Australian Grand Prix,10,38.0,94.151,0 days 00:00:35.943000,0 days 00:00:23.612000,0 days 00:00:34.596000,11.0
2019,Australian Grand Prix,10,39.0,87.229,0 days 00:00:29.388000,0 days 00:00:23.384000,0 days 00:00:34.457000,11.0
2019,Australian Grand Prix,10,40.0,87.566,0 days 00:00:29.554000,0 days 00:00:23.404000,0 days 00:00:34.608000,11.0
2019,Australian Grand Prix,10,41.0,87.915,0 days 00:00:29.765000,0 days 00:00:23.389000,0 days 00:00:34.761000,11.0
2019,Australian Grand Prix,10,42.0,89.405,0 days 00:00:30.442000,0 days 00:00:23.745000,0 days 00:00:35.218000,11.0
2019,Australian Grand Prix,10,43.0,88.219,0 days 00:00:29.786000,0 days 00:00:23.484000,0 days 00:00:34.949000,11.0
2019,Australian Grand Prix,10,44.0,87.654,0 days 00:00:29.378000,0 days 00:00:23.405000,0 days 00:00:34.871000,11.0
2019,Australian Grand Prix,10,45.0,87.828,0 days 00:00:29.401000,0 days 00:00:23.341000,0 days 00:00:35.086000,11.0
2019,Australian Grand Prix,10,46.0,87.861,0 days 00:00:29.393000,0 days 00:00:23.407000,0 days 00:00:35.061000,11.0
2019,Australian Grand Prix,10,47.0,88.231,0 days 00:00:29.613000,0 days 00:00:23.583000,0 days 00:00:35.035000,11.0
2019,Australian Grand Prix,10,48.0,88.612,0 days 00:00:29.687000,0 days 00:00:23.775000,0 days 00:00:35.150000,11.0
2019,Australian Grand Prix,10,49.0,88.451,0 days 00:00:29.580000,0 days 00:00:23.708000,0 days 00:00:35.163000,11.0
2019,Australian Grand Prix,10,50.0,91.355,0 days 00:00:30.367000,0 days 00:00:23.941000,0 days 00:00:37.047000,11.0
2019,Australian Grand Prix,10,51.0,88.957,0 days 00:00:29.648000,0 days 00:00:23.606000,0 days 00:00:35.703000,11.0
2019,Australian Grand Prix,10,52.0,88.745,0 days 00:00:30.170000,0 days 00:00:23.616000,0 days 00:00:34.959000,11.0
2019,Australian Grand Prix,10,53.0,88.224,0 days 00:00:29.332000,0 days 00:00:23.423000,0 days 00:00:35.469000,11.0
2019,Australian Grand Prix,10,54.0,87.981,0 days 00:00:29.471000,0 days 00:00:23.579000,0 days 00:00:34.931000,11.0
2019,Australian Grand Prix,10,55.0,88.544,0 days 00:00:29.429000,0 days 00:00:23.285000,0 days 00:00:35.830000,11.0
2019,Australian Grand Prix,10,56.0,89.108,0 days 00:00:29.979000,0 days 00:00:23.913000,0 days 00:00:35.216000,11.0
2019,Australian Grand Prix,10,57.0,88.874,0 days 00:00:29.513000,0 days 00:00:23.868000,0 days 00:00:35.493000,11.0
2019,Australian Grand Prix,11,1.0,102.296,,0 days 00:00:24.950000,0 days 00:00:37.117000,12.0
2019,Australian Grand Prix,11,2.0,91.97,0 days 00:00:30.940000,0 days 00:00:24.182000,0 days 00:00:36.848000,12.0
2019,Australian Grand Prix,11,3.0,91.356,0 days 00:00:30.597000,0 days 00:00:24.319000,0 days 00:00:36.440000,12.0
2019,Australian Grand Prix,11,4.0,91.743,0 days 00:00:30.695000,0 days 00:00:24.348000,0 days 00:00:36.700000,12.0
2019,Australian Grand Prix,11,5.0,91.4,0 days 00:00:30.604000,0 days 00:00:24.238000,0 days 00:00:36.558000,12.0
2019,Australian Grand Prix,11,6.0,91.175,0 days 00:00:30.331000,0 days 00:00:24.280000,0 days 00:00:36.564000,12.0
2019,Australian Grand Prix,11,7.0,91.143,0 days 00:00:30.446000,0 days 00:00:24.224000,0 days 00:00:36.473000,12.0
2019,Australian Grand Prix,11,8.0,91.075,0 days 00:00:30.492000,0 days 00:00:24.157000,0 days 00:00:36.426000,12.0
2019,Australian Grand Prix,11,9.0,91.058,0 days 00:00:30.431000,0 days 00:00:24.178000,0 days 00:00:36.449000,12.0
2019,Australian Grand Prix,11,10.0,90.945,0 days 00:00:30.354000,0 days 00:00:24.035000,0 days 00:00:36.556000,12.0
2019,Australian Grand Prix,11,11.0,90.85,0 days 00:00:30.252000,0 days 00:00:24.045000,0 days 00:00:36.553000,12.0
2019,Australian Grand Prix,11,12.0,91.103,0 days 00:00:30.383000,0 days 00:00:24.185000,0 days 00:00:36.535000,11.0
2019,Australian Grand Prix,11,13.0,110.063,0 days 00:00:30.277000,0 days 00:00:23.949000,0 days 00:00:55.837000,16.0
2019,Australian Grand Prix,11,14.0,94.939,0 days 00:00:35.962000,0 days 00:00:23.484000,0 days 00:00:35.493000,17.0
2019,Australian Grand Prix,11,15.0,89.916,0 days 00:00:30.225000,0 days 00:00:24.091000,0 days 00:00:35.600000,16.0
2019,Australian Grand Prix,11,16.0,89.675,0 days 00:00:29.864000,0 days 00:00:23.869000,0 days 00:00:35.942000,16.0
2019,Australian Grand Prix,11,17.0,90.215,0 days 00:00:30.413000,0 days 00:00:23.849000,0 days 00:00:35.953000,16.0
2019,Australian Grand Prix,11,18.0,89.801,0 days 00:00:30.214000,0 days 00:00:23.811000,0 days 00:00:35.776000,16.0
2019,Australian Grand Prix,11,19.0,89.935,0 days 00:00:30.048000,0 days 00:00:23.802000,0 days 00:00:36.085000,16.0
2019,Australian Grand Prix,11,20.0,90.02,0 days 00:00:30.170000,0 days 00:00:23.830000,0 days 00:00:36.020000,16.0
2019,Australian Grand Prix,11,21.0,89.481,0 days 00:00:29.985000,0 days 00:00:23.720000,0 days 00:00:35.776000,16.0
2019,Australian Grand Prix,11,22.0,90.554,0 days 00:00:30.322000,0 days 00:00:24.218000,0 days 00:00:36.014000,16.0
2019,Australian Grand Prix,11,23.0,90.759,0 days 00:00:30.421000,0 days 00:00:24.190000,0 days 00:00:36.148000,16.0
2019,Australian Grand Prix,11,24.0,90.364,0 days 00:00:30.165000,0 days 00:00:24.138000,0 days 00:00:36.061000,16.0
2019,Australian Grand Prix,11,25.0,90.696,0 days 00:00:30.063000,0 days 00:00:24.242000,0 days 00:00:36.391000,16.0
2019,Australian Grand Prix,11,26.0,91.849,0 days 00:00:30.407000,0 days 00:00:24.700000,0 days 00:00:36.742000,15.0
2019,Australian Grand Prix,11,27.0,89.691,0 days 00:00:30.221000,0 days 00:00:23.885000,0 days 00:00:35.585000,14.0
2019,Australian Grand Prix,11,28.0,89.365,0 days 00:00:29.993000,0 days 00:00:23.651000,0 days 00:00:35.721000,14.0
2019,Australian Grand Prix,11,29.0,89.835,0 days 00:00:30.094000,0 days 00:00:23.856000,0 days 00:00:35.885000,14.0
2019,Australian Grand Prix,11,30.0,89.609,0 days 00:00:29.858000,0 days 00:00:23.843000,0 days 00:00:35.908000,13.0
2019,Australian Grand Prix,11,31.0,89.686,0 days 00:00:30.040000,0 days 00:00:23.966000,0 days 00:00:35.680000,13.0
2019,Australian Grand Prix,11,32.0,89.037,0 days 00:00:29.788000,0 days 00:00:23.595000,0 days 00:00:35.654000,13.0
2019,Australian Grand Prix,11,33.0,89.162,0 days 00:00:29.932000,0 days 00:00:23.730000,0 days 00:00:35.500000,13.0
2019,Australian Grand Prix,11,34.0,89.016,0 days 00:00:29.720000,0 days 00:00:23.836000,0 days 00:00:35.460000,13.0
2019,Australian Grand Prix,11,35.0,89.381,0 days 00:00:30.096000,0 days 00:00:23.834000,0 days 00:00:35.451000,13.0
2019,Australian Grand Prix,11,36.0,88.808,0 days 00:00:29.724000,0 days 00:00:23.666000,0 days 00:00:35.418000,13.0
2019,Australian Grand Prix,11,37.0,89.264,0 days 00:00:30.006000,0 days 00:00:23.859000,0 days 00:00:35.399000,13.0
2019,Australian Grand Prix,11,38.0,91.415,0 days 00:00:31.748000,0 days 00:00:23.993000,0 days 00:00:35.674000,13.0
2019,Australian Grand Prix,11,39.0,89.176,0 days 00:00:29.731000,0 days 00:00:23.840000,0 days 00:00:35.605000,13.0
2019,Australian Grand Prix,11,40.0,88.732,0 days 00:00:29.787000,0 days 00:00:23.605000,0 days 00:00:35.340000,13.0
2019,Australian Grand Prix,11,41.0,88.485,0 days 00:00:29.605000,0 days 00:00:23.565000,0 days 00:00:35.315000,13.0
2019,Australian Grand Prix,11,42.0,88.688,0 days 00:00:29.610000,0 days 00:00:23.733000,0 days 00:00:35.345000,13.0
2019,Australian Grand Prix,11,43.0,88.664,0 days 00:00:29.627000,0 days 00:00:23.667000,0 days 00:00:35.370000,13.0
2019,Australian Grand Prix,11,44.0,88.939,0 days 00:00:29.961000,0 days 00:00:23.661000,0 days 00:00:35.317000,13.0
2019,Australian Grand Prix,11,45.0,88.738,0 days 00:00:29.543000,0 days 00:00:23.604000,0 days 00:00:35.591000,13.0
2019,Australian Grand Prix,11,46.0,88.834,0 days 00:00:29.716000,0 days 00:00:23.741000,0 days 00:00:35.377000,13.0
2019,Australian Grand Prix,11,47.0,89.781,0 days 00:00:29.869000,0 days 00:00:24.142000,0 days 00:00:35.770000,13.0
2019,Australian Grand Prix,11,48.0,88.928,0 days 00:00:29.722000,0 days 00:00:23.668000,0 days 00:00:35.538000,13.0
2019,Australian Grand Prix,11,49.0,89.246,0 days 00:00:29.746000,0 days 00:00:23.829000,0 days 00:00:35.671000,13.0
2019,Australian Grand Prix,11,50.0,90.191,0 days 00:00:30.331000,0 days 00:00:23.995000,0 days 00:00:35.865000,13.0
2019,Australian Grand Prix,11,51.0,92.162,0 days 00:00:30.349000,0 days 00:00:24.888000,0 days 00:00:36.925000,13.0
2019,Australian Grand Prix,11,52.0,91.98,0 days 00:00:31.404000,0 days 00:00:24.381000,0 days 00:00:36.195000,13.0
2019,Australian Grand Prix,11,53.0,90.966,0 days 00:00:30.411000,0 days 00:00:24.373000,0 days 00:00:36.182000,13.0
2019,Australian Grand Prix,11,54.0,90.95,0 days 00:00:30.322000,0 days 00:00:24.472000,0 days 00:00:36.156000,13.0
2019,Australian Grand Prix,11,55.0,90.797,0 days 00:00:30.518000,0 days 00:00:24.245000,0 days 00:00:36.034000,13.0
2019,Australian Grand Prix,11,56.0,90.821,0 days 00:00:30.305000,0 days 00:00:24.540000,0 days 00:00:35.976000,13.0
2019,Australian Grand Prix,11,57.0,91.061,0 days 00:00:30.330000,0 days 00:00:24.500000,0 days 00:00:36.231000,13.0
2019,Australian Grand Prix,16,1.0,97.042,,0 days 00:00:23.844000,0 days 00:00:35.910000,5.0
2019,Australian Grand Prix,16,2.0,90.636,0 days 00:00:30.491000,0 days 00:00:23.992000,0 days 00:00:36.153000,5.0
2019,Australian Grand Prix,16,3.0,90.033,0 days 00:00:30.165000,0 days 00:00:24.050000,0 days 00:00:35.818000,5.0
2019,Australian Grand Prix,16,4.0,89.387,0 days 00:00:29.811000,0 days 00:00:23.967000,0 days 00:00:35.609000,5.0
2019,Australian Grand Prix,16,5.0,89.579,0 days 00:00:29.796000,0 days 00:00:23.979000,0 days 00:00:35.804000,5.0
2019,Australian Grand Prix,16,6.0,90.124,0 days 00:00:29.937000,0 days 00:00:24.313000,0 days 00:00:35.874000,5.0
2019,Australian Grand Prix,16,7.0,90.006,0 days 00:00:30.089000,0 days 00:00:24.136000,0 days 00:00:35.781000,5.0
2019,Australian Grand Prix,16,8.0,89.708,0 days 00:00:30.130000,0 days 00:00:23.939000,0 days 00:00:35.639000,5.0
2019,Australian Grand Prix,16,9.0,92.63,0 days 00:00:32.630000,0 days 00:00:24.128000,0 days 00:00:35.872000,5.0
2019,Australian Grand Prix,16,10.0,89.905,,0 days 00:00:24.024000,0 days 00:00:35.706000,5.0
2019,Australian Grand Prix,16,11.0,89.912,0 days 00:00:30.049000,0 days 00:00:23.988000,0 days 00:00:35.875000,5.0
2019,Australian Grand Prix,16,12.0,89.828,0 days 00:00:29.964000,0 days 00:00:24.012000,0 days 00:00:35.852000,5.0
2019,Australian Grand Prix,16,13.0,89.282,0 days 00:00:29.921000,0 days 00:00:23.847000,0 days 00:00:35.514000,5.0
2019,Australian Grand Prix,16,14.0,89.39,0 days 00:00:29.928000,0 days 00:00:23.875000,0 days 00:00:35.587000,4.0
2019,Australian Grand Prix,16,15.0,89.495,0 days 00:00:30.005000,0 days 00:00:23.960000,0 days 00:00:35.530000,3.0
2019,Australian Grand Prix,16,16.0,89.099,0 days 00:00:29.735000,0 days 00:00:23.855000,0 days 00:00:35.509000,3.0
2019,Australian Grand Prix,16,17.0,89.339,0 days 00:00:29.893000,0 days 00:00:23.953000,0 days 00:00:35.493000,3.0
2019,Australian Grand Prix,16,18.0,88.991,0 days 00:00:29.781000,0 days 00:00:23.789000,0 days 00:00:35.421000,3.0
2019,Australian Grand Prix,16,19.0,88.926,0 days 00:00:29.804000,0 days 00:00:23.850000,0 days 00:00:35.272000,3.0
2019,Australian Grand Prix,16,20.0,88.733,0 days 00:00:29.649000,0 days 00:00:23.791000,0 days 00:00:35.293000,3.0
2019,Australian Grand Prix,16,21.0,88.833,0 days 00:00:29.714000,0 days 00:00:23.737000,0 days 00:00:35.382000,3.0
2019,Australian Grand Prix,16,22.0,88.905,0 days 00:00:29.720000,0 days 00:00:23.856000,0 days 00:00:35.329000,3.0
2019,Australian Grand Prix,16,23.0,88.921,0 days 00:00:29.782000,0 days 00:00:23.829000,0 days 00:00:35.310000,3.0
2019,Australian Grand Prix,16,24.0,89.335,0 days 00:00:29.884000,0 days 00:00:23.889000,0 days 00:00:35.562000,3.0
2019,Australian Grand Prix,16,25.0,89.205,0 days 00:00:29.792000,0 days 00:00:23.869000,0 days 00:00:35.544000,2.0
2019,Australian Grand Prix,16,26.0,89.014,0 days 00:00:29.720000,0 days 00:00:23.886000,0 days 00:00:35.408000,2.0
2019,Australian Grand Prix,16,27.0,89.275,0 days 00:00:29.894000,0 days 00:00:23.934000,0 days 00:00:35.447000,2.0
2019,Australian Grand Prix,16,28.0,107.729,0 days 00:00:29.850000,0 days 00:00:23.913000,0 days 00:00:53.966000,5.0
2019,Australian Grand Prix,16,29.0,93.404,0 days 00:00:35.296000,0 days 00:00:23.279000,0 days 00:00:34.829000,5.0
2019,Australian Grand Prix,16,30.0,87.24,0 days 00:00:29.070000,0 days 00:00:23.417000,0 days 00:00:34.753000,5.0
2019,Australian Grand Prix,16,31.0,87.775,0 days 00:00:29.376000,0 days 00:00:23.477000,0 days 00:00:34.922000,5.0
2019,Australian Grand Prix,16,32.0,87.752,0 days 00:00:29.354000,0 days 00:00:23.439000,0 days 00:00:34.959000,5.0
2019,Australian Grand Prix,16,33.0,88.113,0 days 00:00:29.508000,0 days 00:00:23.698000,0 days 00:00:34.907000,5.0
2019,Australian Grand Prix,16,34.0,88.115,0 days 00:00:29.394000,0 days 00:00:23.630000,0 days 00:00:35.091000,5.0
2019,Australian Grand Prix,16,35.0,88.319,0 days 00:00:29.612000,0 days 00:00:23.820000,0 days 00:00:34.887000,5.0
2019,Australian Grand Prix,16,36.0,87.701,0 days 00:00:29.391000,0 days 00:00:23.523000,0 days 00:00:34.787000,5.0
2019,Australian Grand Prix,16,37.0,88.044,0 days 00:00:29.409000,0 days 00:00:23.540000,0 days 00:00:35.095000,5.0
2019,Australian Grand Prix,16,38.0,87.992,0 days 00:00:29.418000,0 days 00:00:23.550000,0 days 00:00:35.024000,5.0
2019,Australian Grand Prix,16,39.0,87.942,0 days 00:00:29.417000,0 days 00:00:23.480000,0 days 00:00:35.045000,5.0
2019,Australian Grand Prix,16,40.0,87.728,0 days 00:00:29.353000,0 days 00:00:23.516000,0 days 00:00:34.859000,5.0
2019,Australian Grand Prix,16,41.0,87.576,0 days 00:00:29.219000,0 days 00:00:23.493000,0 days 00:00:34.864000,5.0
2019,Australian Grand Prix,16,42.0,87.609,0 days 00:00:29.317000,0 days 00:00:23.374000,0 days 00:00:34.918000,5.0
2019,Australian Grand Prix,16,43.0,87.55,0 days 00:00:29.281000,0 days 00:00:23.431000,0 days 00:00:34.838000,5.0
2019,Australian Grand Prix,16,44.0,87.619,0 days 00:00:29.422000,0 days 00:00:23.393000,0 days 00:00:34.804000,5.0
2019,Australian Grand Prix,16,45.0,87.435,0 days 00:00:29.316000,0 days 00:00:23.322000,0 days 00:00:34.797000,5.0
2019,Australian Grand Prix,16,46.0,87.529,0 days 00:00:29.198000,0 days 00:00:23.388000,0 days 00:00:34.943000,5.0
2019,Australian Grand Prix,16,47.0,87.326,0 days 00:00:29.192000,0 days 00:00:23.280000,0 days 00:00:34.854000,5.0
2019,Australian Grand Prix,16,48.0,87.359,0 days 00:00:29.245000,0 days 00:00:23.343000,0 days 00:00:34.771000,5.0
2019,Australian Grand Prix,16,49.0,88.09,0 days 00:00:29.583000,0 days 00:00:23.440000,0 days 00:00:35.067000,5.0
2019,Australian Grand Prix,16,50.0,87.824,0 days 00:00:29.373000,0 days 00:00:23.392000,0 days 00:00:35.059000,5.0
2019,Australian Grand Prix,16,51.0,90.151,0 days 00:00:30.832000,0 days 00:00:24.020000,0 days 00:00:35.299000,5.0
2019,Australian Grand Prix,16,52.0,88.283,0 days 00:00:29.548000,0 days 00:00:23.419000,0 days 00:00:35.316000,5.0
2019,Australian Grand Prix,16,53.0,90.058,0 days 00:00:29.891000,0 days 00:00:24.421000,0 days 00:00:35.746000,5.0
2019,Australian Grand Prix,16,54.0,90.153,0 days 00:00:30.475000,0 days 00:00:23.742000,0 days 00:00:35.936000,5.0
2019,Australian Grand Prix,16,55.0,90.138,0 days 00:00:29.920000,0 days 00:00:23.894000,0 days 00:00:36.324000,5.0
2019,Australian Grand Prix,16,56.0,89.908,0 days 00:00:30.267000,0 days 00:00:24.094000,0 days 00:00:35.547000,5.0
2019,Australian Grand Prix,16,57.0,90.634,0 days 00:00:29.948000,0 days 00:00:24.399000,0 days 00:00:36.287000,5.0
2019,Australian Grand Prix,16,58.0,86.926,0 days 00:00:29.006000,0 days 00:00:23.138000,0 days 00:00:34.782000,5.0
2019,Australian Grand Prix,18,1.0,102.777,,0 days 00:00:24.995000,0 days 00:00:37.255000,13.0
2019,Australian Grand Prix,18,2.0,92.014,0 days 00:00:30.966000,0 days 00:00:24.291000,0 days 00:00:36.757000,13.0
2019,Australian Grand Prix,18,3.0,91.558,0 days 00:00:30.625000,0 days 00:00:24.258000,0 days 00:00:36.675000,13.0
2019,Australian Grand Prix,18,4.0,91.612,0 days 00:00:30.525000,0 days 00:00:24.415000,0 days 00:00:36.672000,13.0
2019,Australian Grand Prix,18,5.0,91.545,0 days 00:00:30.670000,0 days 00:00:24.283000,0 days 00:00:36.592000,13.0
2019,Australian Grand Prix,18,6.0,91.104,0 days 00:00:30.466000,0 days 00:00:24.125000,0 days 00:00:36.513000,13.0
2019,Australian Grand Prix,18,7.0,91.301,0 days 00:00:30.628000,0 days 00:00:24.180000,0 days 00:00:36.493000,13.0
2019,Australian Grand Prix,18,8.0,91.318,0 days 00:00:30.567000,0 days 00:00:24.242000,0 days 00:00:36.509000,13.0
2019,Australian Grand Prix,18,9.0,91.113,0 days 00:00:30.688000,0 days 00:00:24.049000,0 days 00:00:36.376000,13.0
2019,Australian Grand Prix,18,10.0,90.976,0 days 00:00:30.489000,0 days 00:00:23.976000,0 days 00:00:36.511000,13.0
2019,Australian Grand Prix,18,11.0,90.767,0 days 00:00:30.392000,0 days 00:00:23.913000,0 days 00:00:36.462000,13.0
2019,Australian Grand Prix,18,12.0,91.081,0 days 00:00:30.506000,0 days 00:00:24.134000,0 days 00:00:36.441000,12.0
2019,Australian Grand Prix,18,13.0,90.808,0 days 00:00:30.504000,0 days 00:00:23.987000,0 days 00:00:36.317000,10.0
2019,Australian Grand Prix,18,14.0,90.138,0 days 00:00:30.213000,0 days 00:00:23.779000,0 days 00:00:36.146000,8.0
2019,Australian Grand Prix,18,15.0,90.077,0 days 00:00:30.182000,0 days 00:00:23.872000,0 days 00:00:36.023000,6.0
2019,Australian Grand Prix,18,16.0,89.59,0 days 00:00:30.120000,0 days 00:00:23.674000,0 days 00:00:35.796000,6.0
2019,Australian Grand Prix,18,17.0,89.716,0 days 00:00:30.104000,0 days 00:00:23.712000,0 days 00:00:35.900000,6.0
2019,Australian Grand Prix,18,18.0,89.565,0 days 00:00:30.203000,0 days 00:00:23.745000,0 days 00:00:35.617000,6.0
2019,Australian Grand Prix,18,19.0,89.316,0 days 00:00:29.942000,0 days 00:00:23.700000,0 days 00:00:35.674000,6.0
2019,Australian Grand Prix,18,20.0,89.234,0 days 00:00:29.875000,0 days 00:00:23.773000,0 days 00:00:35.586000,6.0
2019,Australian Grand Prix,18,21.0,89.231,0 days 00:00:29.880000,0 days 00:00:23.624000,0 days 00:00:35.727000,6.0
2019,Australian Grand Prix,18,22.0,89.29,0 days 00:00:29.774000,0 days 00:00:23.777000,0 days 00:00:35.739000,6.0
2019,Australian Grand Prix,18,23.0,89.294,0 days 00:00:30.069000,0 days 00:00:23.706000,0 days 00:00:35.519000,6.0
2019,Australian Grand Prix,18,24.0,89.13,0 days 00:00:29.852000,0 days 00:00:23.693000,0 days 00:00:35.585000,6.0
2019,Australian Grand Prix,18,25.0,89.601,0 days 00:00:29.974000,0 days 00:00:23.770000,0 days 00:00:35.857000,6.0
2019,Australian Grand Prix,18,26.0,89.175,0 days 00:00:29.841000,0 days 00:00:23.644000,0 days 00:00:35.690000,6.0
2019,Australian Grand Prix,18,27.0,107.488,0 days 00:00:29.981000,0 days 00:00:23.755000,0 days 00:00:53.752000,10.0
2019,Australian Grand Prix,18,28.0,94.0,0 days 00:00:35.918000,0 days 00:00:23.438000,0 days 00:00:34.644000,10.0
